ID,Створення запис на СТО,Плановий заїзд,Планове закінчення
,2023-01-04 11:43:40,2023-01-21 09:00:00,2023-01-21 10:55:00
,2023-01-04 11:43:40,2023-01-22 09:00:00,2023-01-22 09:30:00
,2023-01-04 11:43:40,2023-01-23 09:00:00,2023-01-23 09:30:00
,2023-01-04 11:43:40,2023-01-27 09:00:00,2023-01-27 09:30:00
,2023-01-04 11:43:40,2023-01-29 09:00:00,2023-01-29 09:30:00
,2023-01-04 11:43:40,2023-01-30 09:00:00,2023-01-30 09:30:00
,2023-01-04 11:43:40,2023-01-31 09:00:00,2023-01-31 09:30:00
,2023-01-04 11:43:40,2023-02-01 09:00:00,2023-02-01 09:30:00
,2023-01-04 11:43:40,2023-02-02 09:00:00,2023-02-02 09:30:00
,2023-01-04 11:43:40,2023-02-03 09:00:00,2023-02-03 09:30:00
,2023-01-04 11:43:40,2023-02-04 09:00:00,2023-02-04 09:30:00
,2023-01-04 11:43:40,2023-02-05 09:00:00,2023-02-05 09:30:00
,2023-01-04 11:43:40,2023-02-06 09:00:00,2023-02-06 09:30:00
,2023-01-04 11:43:40,2023-02-09 09:00:00,2023-02-09 09:30:00
,2023-01-04 11:43:40,2023-02-10 09:00:00,2023-02-10 09:30:00
,2023-01-04 11:43:40,2023-02-11 09:00:00,2023-02-11 09:30:00
,2023-01-04 11:43:40,2023-02-12 09:00:00,2023-02-12 09:30:00
,2023-01-04 11:43:40,2023-02-14 09:00:00,2023-02-14 09:30:00
,2023-01-04 11:43:40,2023-02-15 09:00:00,2023-02-15 09:29:00
,2023-01-04 11:43:40,2023-02-16 09:00:00,2023-02-16 09:30:00
,2023-01-04 11:43:40,2023-02-17 09:00:00,2023-02-17 09:30:00
,2023-01-04 11:43:40,2023-02-19 09:00:00,2023-02-19 09:30:00
,2023-01-04 11:43:40,2023-02-20 09:00:00,2023-02-20 09:30:00
,2023-01-04 11:43:40,2023-02-21 09:00:00,2023-02-21 09:30:00
,2023-01-04 11:43:40,2023-02-22 09:00:00,2023-02-22 09:30:00
,2023-01-04 11:43:40,2023-02-23 09:00:00,2023-02-23 09:30:00
,2023-01-04 11:43:40,2023-02-25 09:00:00,2023-02-25 09:30:00
,2023-01-04 11:43:40,2023-02-26 09:00:00,2023-02-26 09:30:00
,2023-01-04 11:43:40,2023-02-27 09:00:00,2023-02-27 09:30:00
,2023-01-04 11:43:40,2023-02-28 09:00:00,2023-02-28 09:30:00
,2023-01-04 11:47:08,2023-01-10 09:00:00,2023-01-10 09:30:00
,2023-01-04 11:47:08,2023-01-12 09:00:00,2023-01-12 09:30:00
,2023-01-04 11:47:08,2023-01-14 09:00:00,2023-01-14 09:50:00
,2023-01-04 11:47:08,2023-01-15 09:00:00,2023-01-15 09:30:00
,2023-01-04 11:47:08,2023-01-18 09:00:00,2023-01-18 09:30:00
,2023-01-04 11:47:08,2023-01-19 09:00:00,2023-01-19 09:30:00
,2023-01-04 11:47:08,2023-01-20 09:00:00,2023-01-20 09:30:00
,2023-01-04 11:47:08,2023-01-21 09:00:00,2023-01-21 09:30:00
,2023-01-04 11:47:08,2023-01-22 09:00:00,2023-01-22 09:30:00
,2023-01-04 11:47:08,2023-01-23 09:00:00,2023-01-23 09:30:00
,2023-01-04 11:47:08,2023-01-24 09:00:00,2023-01-24 09:30:00
,2023-01-04 11:47:08,2023-01-26 09:00:00,2023-01-26 09:30:00
,2023-01-04 11:47:08,2023-01-27 09:00:00,2023-01-27 09:30:00
,2023-01-04 11:47:08,2023-01-28 09:00:00,2023-01-28 09:30:00
,2023-01-04 11:47:08,2023-01-29 09:00:00,2023-01-29 09:30:00
,2023-01-04 11:47:08,2023-01-30 09:00:00,2023-01-30 09:30:00
,2023-01-04 11:47:08,2023-02-01 09:00:00,2023-02-01 09:30:00
,2023-01-04 11:47:08,2023-02-02 09:00:00,2023-02-02 09:30:00
,2023-01-04 11:47:08,2023-02-04 09:00:00,2023-02-04 09:30:00
,2023-01-04 11:47:08,2023-02-05 09:00:00,2023-02-05 09:30:00
,2023-01-04 11:47:08,2023-02-06 09:00:00,2023-02-06 09:30:00
,2023-01-04 11:47:08,2023-02-09 09:00:00,2023-02-09 09:30:00
,2023-01-04 11:47:08,2023-02-10 09:00:00,2023-02-10 09:30:00
